SessionID,UserID,GameID,StartTime,EndTime,Score
1,1,18,2024-11-07 11:38:21,2024-11-07 12:03:21,6716
2,1,7,2024-12-20 01:27:35,2024-12-20 02:03:35,1235
3,1,10,2025-01-14 09:31:13,2025-01-14 09:36:13,1147
4,2,2,2024-07-14 09:26:51,2024-07-14 09:53:51,1130
5,2,3,2025-01-18 15:22:22,2025-01-18 15:40:22,1793
6,2,19,2024-09-02 23:14:01,2024-09-02 23:46:01,6674
7,3,5,2025-03-25 17:38:36,2025-03-25 18:05:36,6494
8,3,2,2024-10-01 08:57:03,2024-10-01 09:31:03,1517
9,3,9,2024-06-26 22:41:56,2024-06-26 23:28:56,1050
10,4,8,2024-10-26 07:57:06,2024-10-26 08:56:06,5607
11,4,7,2024-07-16 19:08:31,2024-07-16 20:02:31,1469
12,4,4,2025-02-11 19:14:59,2025-02-11 20:05:59,1533
13,4,8,2025-03-29 19:03:32,2025-03-29 19:32:32,711
14,5,5,2024-06-29 17:03:22,2024-06-29 17:58:22,1362
15,5,15,2025-02-09 01:09:27,2025-02-09 01:44:27,5785
16,5,9,2024-10-29 18:30:03,2024-10-29 19:19:03,1039
17,5,14,2024-07-02 12:29:20,2024-07-02 13:13:20,1132
18,5,4,2024-11-25 02:08:32,2024-11-25 02:49:32,1001
19,6,19,2025-04-02 12:19:52,2025-04-02 13:04:52,1045
20,6,20,2024-09-23 21:26:40,2024-09-23 22:17:40,519
21,6,13,2025-03-05 02:10:54,2025-03-05 02:33:54,5024
22,6,9,2024-12-16 21:46:55,2024-12-16 22:00:55,1058
23,7,2,2024-11-11 23:47:39,2024-11-12 00:28:39,379
24,7,8,2024-05-21 15:34:22,2024-05-21 15:53:22,1439
25,7,10,2024-05-04 17:36:36,2024-05-04 18:23:36,328
26,8,13,2024-11-03 13:02:10,2024-11-03 13:34:10,1124
27,8,18,2025-02-08 04:26:06,2025-02-08 04:51:06,1320
28,8,21,2024-09-06 03:58:16,2024-09-06 04:58:16,4529
29,9,21,2024-06-18 18:29:25,2024-06-18 19:19:25,1471
30,9,20,2024-10-01 01:03:43,2024-10-01 01:42:43,878
31,9,19,2025-03-26 05:22:07,2025-03-26 06:11:07,5244
32,10,19,2024-11-14 01:11:46,2024-11-14 01:24:46,586
33,10,13,2025-02-26 11:32:01,2025-02-26 12:05:01,5215
34,10,5,2024-09-15 04:22:44,2024-09-15 04:29:44,633
35,10,18,2024-08-03 02:33:18,2024-08-03 03:21:18,765
36,11,7,2025-02-09 16:06:39,2025-02-09 16:22:39,2428
37,11,2,2024-12-20 05:10:35,2024-12-20 05:33:35,1291
38,11,8,2024-10-22 03:57:49,2024-10-22 04:17:49,8187
39,11,1,2025-01-20 23:30:48,2025-01-20 23:38:48,1922
40,11,18,2024-07-23 16:05:22,2024-07-23 16:59:22,1493
41,12,16,2024-11-09 12:53:19,2024-11-09 13:39:19,999
42,12,10,2024-05-16 15:53:30,2024-05-16 16:44:30,4228
43,12,7,2024-12-23 12:29:18,2024-12-23 13:28:18,1093
44,12,4,2024-05-08 19:18:31,2024-05-08 20:18:31,891
45,13,1,2024-06-10 06:27:52,2024-06-10 06:45:52,938
46,13,2,2024-12-26 06:12:59,2024-12-26 07:11:59,618
47,13,1,2024-09-27 13:52:01,2024-09-27 14:35:01,786
48,13,22,2024-07-24 02:48:12,2024-07-24 03:37:12,1570
49,13,5,2024-11-10 14:34:33,2024-11-10 15:05:33,5278
50,14,21,2024-10-16 23:16:49,2024-10-16 23:49:49,7684
51,14,11,2024-09-15 10:19:55,2024-09-15 10:33:55,1618
52,14,11,2024-04-28 22:41:09,2024-04-28 23:02:09,1099
53,15,2,2024-05-16 17:02:43,2024-05-16 18:01:43,1332
54,15,11,2024-08-08 23:30:45,2024-08-09 00:29:45,4441
55,16,21,2025-02-26 02:14:30,2025-02-26 02:57:30,8882
56,16,7,2024-05-04 06:57:43,2024-05-04 07:48:43,1956
57,17,20,2024-05-18 03:15:39,2024-05-18 03:49:39,2485
58,17,17,2024-05-17 13:43:55,2024-05-17 14:26:55,1586
59,17,10,2024-11-21 14:58:13,2024-11-21 15:14:13,2059
60,17,2,2024-10-17 19:26:19,2024-10-17 20:10:19,2170
61,17,14,2024-06-15 17:19:21,2024-06-15 18:12:21,8784
62,18,5,2024-11-22 13:39:14,2024-11-22 13:56:14,622
63,18,21,2024-09-13 15:12:37,2024-09-13 16:07:37,4305
64,18,18,2024-11-17 00:57:11,2024-11-17 01:42:11,1279
65,19,9,2024-10-04 10:21:37,2024-10-04 11:11:37,6882
66,19,2,2024-09-09 14:02:16,2024-09-09 14:20:16,1295
67,19,12,2024-11-22 19:26:15,2024-11-22 19:34:15,1964
68,19,5,2024-10-19 17:24:26,2024-10-19 18:11:26,1187
69,19,1,2024-07-30 19:24:33,2024-07-30 20:09:33,1817
70,20,7,2024-12-19 02:17:51,2024-12-19 02:56:51,2459
71,20,11,2024-05-25 07:11:42,2024-05-25 08:02:42,8651
72,21,6,2024-09-17 10:40:45,2024-09-17 11:01:45,5082
73,21,15,2024-05-22 08:49:32,2024-05-22 09:12:32,614
74,21,18,2024-05-27 04:02:33,2024-05-27 04:24:33,596
75,21,2,2024-06-30 15:27:54,2024-06-30 16:19:54,753
76,21,15,2025-03-14 19:47:26,2025-03-14 20:34:26,748
77,22,3,2025-03-28 19:32:03,2025-03-28 19:44:03,2129
78,22,12,2024-06-16 12:53:40,2024-06-16 13:53:40,1830
79,22,21,2024-09-22 05:03:58,2024-09-22 05:15:58,2143
80,22,7,2024-05-22 11:50:17,2024-05-22 12:12:17,7152
81,22,18,2024-05-05 05:20:49,2024-05-05 06:01:49,1753
82,23,2,2024-07-10 14:29:29,2024-07-10 14:44:29,1132
83,23,21,2024-10-04 19:03:35,2024-10-04 19:26:35,2808
84,23,2,2024-09-08 20:55:20,2024-09-08 21:25:20,1903
85,23,10,2024-07-05 14:31:28,2024-07-05 15:27:28,1453
86,23,9,2024-11-05 09:56:05,2024-11-05 10:18:05,9505
87,24,2,2025-02-01 20:07:08,2025-02-01 20:19:08,799
88,24,9,2024-06-04 17:23:06,2024-06-04 17:31:06,7585
89,25,22,2025-03-09 05:57:46,2025-03-09 06:18:46,563
90,25,10,2024-06-09 15:06:00,2024-06-09 16:01:00,3419
91,25,8,2024-04-30 20:21:11,2024-04-30 20:42:11,509
92,26,1,2024-10-31 11:57:12,2024-10-31 12:23:12,1125
93,26,22,2025-03-22 22:48:05,2025-03-22 23:21:05,802
94,26,19,2024-09-01 02:19:55,2024-09-01 03:14:55,1724
95,26,2,2024-07-07 20:12:49,2024-07-07 20:24:49,970
96,26,16,2025-02-06 14:21:11,2025-02-06 14:35:11,7255
97,27,22,2025-02-11 00:01:13,2025-02-11 00:29:13,1200
98,27,21,2024-09-23 22:48:31,2024-09-23 23:22:31,2295
99,27,8,2025-02-23 15:26:56,2025-02-23 15:51:56,8462
100,27,3,2024-08-29 20:02:08,2024-08-29 20:48:08,1211
101,28,21,2024-05-07 18:29:20,2024-05-07 19:08:20,2008
102,28,19,2025-04-25 03:43:10,2025-04-25 04:05:10,550
103,28,19,2024-11-18 02:17:03,2024-11-18 02:31:03,274
104,29,22,2025-03-01 07:41:06,2025-03-01 08:05:06,431
105,29,12,2024-12-17 10:45:07,2024-12-17 10:59:07,2475
106,30,20,2024-06-02 12:18:02,2024-06-02 12:45:02,4467
107,30,10,2024-09-26 23:48:01,2024-09-26 23:53:01,1215
108,31,16,2025-03-17 12:52:02,2025-03-17 13:52:02,410
109,31,9,2025-03-20 05:37:54,2025-03-20 06:21:54,1555
110,32,12,2024-11-17 19:32:00,2024-11-17 19:55:00,683
111,32,20,2024-12-16 01:32:16,2024-12-16 01:53:16,795
112,32,3,2025-01-13 22:19:12,2025-01-13 22:57:12,557
113,32,16,2024-12-15 01:20:37,2024-12-15 01:49:37,2853
114,32,19,2025-01-07 08:21:39,2025-01-07 08:31:39,322
115,33,12,2024-10-16 00:27:24,2024-10-16 00:56:24,624
116,33,5,2024-05-10 03:49:43,2024-05-10 04:42:43,738
117,33,13,2025-03-04 15:08:56,2025-03-04 16:01:56,3300
118,34,6,2024-07-10 03:04:05,2024-07-10 03:24:05,2651
119,34,11,2024-08-03 21:58:48,2024-08-03 22:55:48,562
120,35,16,2024-10-02 07:52:02,2024-10-02 08:15:02,3538
121,35,8,2024-08-11 15:10:23,2024-08-11 15:27:23,497
122,35,18,2024-10-03 17:23:21,2024-10-03 18:18:21,920
123,35,7,2024-09-10 20:14:43,2024-09-10 20:47:43,685
124,35,18,2024-09-22 15:28:57,2024-09-22 15:33:57,537
125,36,10,2024-06-05 15:22:05,2024-06-05 15:43:05,1622
126,36,12,2024-08-22 08:12:44,2024-08-22 08:51:44,8204
127,36,11,2025-02-20 20:00:13,2025-02-20 20:39:13,878
128,36,13,2025-04-03 05:12:50,2025-04-03 05:55:50,1805
129,37,20,2025-01-17 11:12:03,2025-01-17 11:53:03,887
130,37,18,2025-03-30 00:12:04,2025-03-30 00:22:04,7518
131,38,21,2024-12-03 11:17:51,2024-12-03 11:59:51,904
132,38,1,2025-03-08 08:59:16,2025-03-08 09:38:16,823
133,38,18,2024-10-17 01:39:19,2024-10-17 02:26:19,4352
134,39,22,2024-07-10 01:54:45,2024-07-10 02:14:45,3990
135,39,18,2025-02-10 11:06:04,2025-02-10 11:33:04,1143
136,40,20,2024-08-30 02:23:27,2024-08-30 02:35:27,997
137,40,17,2024-09-20 13:01:07,2024-09-20 13:31:07,5676
138,41,17,2024-12-02 11:44:12,2024-12-02 11:50:12,5338
139,41,10,2024-09-28 15:11:51,2024-09-28 15:17:51,1051
140,42,14,2024-07-17 00:54:20,2024-07-17 01:25:20,2559
141,42,7,2024-06-03 06:39:07,2024-06-03 07:00:07,677
142,42,13,2025-02-03 15:08:53,2025-02-03 15:25:53,765
143,42,19,2025-03-02 13:09:35,2025-03-02 14:07:35,684
144,42,15,2024-07-05 15:32:25,2024-07-05 16:24:25,472
145,43,18,2025-04-16 02:18:30,2025-04-16 02:48:30,842
146,43,19,2025-01-29 09:34:12,2025-01-29 10:03:12,7485
147,43,8,2024-08-03 22:34:02,2024-08-03 22:40:02,838
148,44,4,2024-10-16 00:23:52,2024-10-16 01:23:52,810
149,44,7,2024-12-30 10:08:18,2024-12-30 10:20:18,3601
150,44,4,2024-08-02 00:13:38,2024-08-02 00:53:38,736
151,44,17,2025-03-07 16:38:23,2025-03-07 17:27:23,546
